cache_key,latitude,longitude
|Curitiba|PR,-25.4268985,-49.2651984
|Londrina|PR,-23.3197305,-51.1662008
|Maringá|PR,-23.4209995,-51.9330558
|Cascavel|PR,-24.9541356,-53.48024059999999
|Ponta Grossa|PR,-25.0993943,-50.15829979999999
|São José dos Pinhais|PR,-25.5345818,-49.2032653
|Foz do Iguaçu|PR,-25.5165101,-54.585403
|Colombo|PR,-25.3644204,-49.1860165
|Guarapuava|PR,-25.3888169,-51.4612411
|Pinhais|PR,-25.4323659,-49.1933233
|Toledo|PR,-24.7227347,-53.74082569999999
|Paranaguá|PR,-25.515148,-48.5224133
|Araucária|PR,-25.5898125,-49.3997714
|Apucarana|PR,-23.5525322,-51.4638893
|Umuarama|PR,-23.7627286,-53.3119989
|Arapongas|PR,-23.404342,-51.44590909999999
|Fazenda Rio Grande|PR,-25.6484464,-49.3067238
|Campo Mourão|PR,-24.0437988,-52.3810674
|Pato Branco|PR,-26.228901,-52.6716223
|Campo Largo|PR,-25.4584079,-49.533696
"CENTRO|Curitiba, PR",-25.4372427,-49.2699665
"CIDADE INDUSTRIAL|Curitiba, PR",-25.4951772,-49.3426729
"BOQUEIRAO|Curitiba, PR",-25.5030924,-49.2368174
"SITIO CERCADO|Curitiba, PR",-25.5378818,-49.277686
"CAJURU|Curitiba, PR",-25.4542373,-49.2140822
"AGUA VERDE|Curitiba, PR",-25.4500977,-49.2854547
"UBERABA|Curitiba, PR",-25.4917404,-49.2150462
"XAXIM|Curitiba, PR",-25.5121062,-49.2593808
"PORTAO|Curitiba, PR",-25.4754701,-49.29309980000001
"PINHEIRINHO|Curitiba, PR",-25.5278777,-49.2919284
"NOVO MUNDO|Curitiba, PR",-25.4889991,-49.2941927
"BAIRRO ALTO|Curitiba, PR",-25.4072722,-49.2087704
"BATEL|Curitiba, PR",-25.4432789,-49.2849756
"REBOUCAS|Curitiba, PR",-25.443438,-49.2678749
"TATUQUARA|Curitiba, PR",-25.5647079,-49.3284575
"Centro|Curitiba, PR",-25.4372427,-49.2699665
"Cidade Industrial|Curitiba, PR",-25.4951772,-49.3426729
"Boqueirao|Curitiba, PR",-25.5030924,-49.2368174
"Sitio Cercado|Curitiba, PR",-25.5378818,-49.277686
"Cajuru|Curitiba, PR",-25.4542373,-49.2140822
"Agua Verde|Curitiba, PR",-25.4500977,-49.2854547
"Uberaba|Curitiba, PR",-25.4917404,-49.2150462
"Xaxim|Curitiba, PR",-25.5121062,-49.2593808
"Portao|Curitiba, PR",-25.4754701,-49.29309980000001
"Pinheirinho|Curitiba, PR",-25.5278777,-49.2919284
"Novo Mundo|Curitiba, PR",-25.4889991,-49.2941927
"Bairro Alto|Curitiba, PR",-25.4072722,-49.2087704
